Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
3-Jan,31,,,1,2,,18,,,112,46,263,35,5,81,,,83,3,,271,,,,151,30,,8,,1,,7,,,13,,,11,27,,58,12,96,,,29,87,1,,1,,,25,165,5,,5,48,,,1,18,5,149,,8,28,7,,,,,,30,15,11,,,4,,15,,,,10
3-Feb,30,,,,2,,7,,,100,48,253,37,3,84,,,83,2,,268,,,,155,35,,9,,2,,1,,,11,,,9,33,,37,12,66,,,47,76,,,,,,18,102,,,3,42,,,,18,1,139,,7,26,12,,,,,,26,30,8,,,4,,17,,1,,12
3-Mar,28,,,2,3,,19,,,121,44,303,61,1,83,,,96,4,,288,,,1,161,29,,7,,2,,8,,,11,,,15,27,,37,14,90,,,34,110,,,,,,28,139,3,,4,46,,,,12,4,161,,5,30,11,,,3,1,,72,50,16,,,12,,30,2,,,30
3-Apr,37,,,1,7,,16,,,138,42,324,48,3,101,1,,82,5,,327,,,,205,33,,7,,,,2,,,20,,,8,51,,43,14,93,,,35,97,,1,1,,,28,148,3,,5,50,,,,19,3,146,,8,28,14,,,7,,,124,86,35,,,12,,61,1,2,,48
3-May,41,,,,6,,23,,,115,52,330,57,3,90,,,97,11,,335,,,,160,34,,6,,,,4,,,16,,,10,53,,51,19,99,,,44,99,,,,,,35,151,1,,5,45,,,,30,3,162,,9,35,18,1,,2,,1,128,76,40,,,9,,62,1,4,,50
3-Jun,46,,,,8,,21,,,116,56,333,50,6,95,,,87,9,,319,,,,179,31,,6,,,,3,,,10,,,23,35,,47,14,104,,1,49,102,1,,,,,34,171,,,2,47,,,,29,3,172,,7,27,10,,,1,,2,139,97,56,,,13,,77,4,3,,68
3-Jul,38,1,,1,3,,21,,,135,56,326,57,3,91,,,97,6,,330,,,,183,31,,6,,,,5,,,12,,,19,45,,45,20,88,1,,68,107,,1,,,1,35,153,1,,4,46,,,,20,2,163,,3,32,20,,,8,,2,175,103,58,1,,14,,66,,,,82
3-Aug,44,,,,7,1,31,,,117,48,327,66,4,106,1,,93,14,,344,,,,225,38,,12,,,,4,,,24,,,11,45,,58,22,108,,,43,88,,2,,,,35,163,5,,4,44,,,,23,4,154,1,9,52,13,,,4,,2,179,106,55,2,,25,,77,3,1,,82
3-Sep,26,,,,9,,22,,,125,33,281,50,6,107,1,,101,9,,314,,,,181,41,,9,,,,2,,,18,,,16,42,,68,20,79,,,44,101,,3,2,,,33,159,6,,1,46,,,,19,3,189,,12,29,15,,,4,,1,166,94,49,,,18,,83,,3,,54
3-Oct,28,,,1,5,,25,,,138,52,334,49,3,110,,,116,6,,372,,,,203,48,,6,,1,,7,,,13,,,13,43,,63,27,102,,1,51,122,,1,,,,35,158,2,,6,52,,,,24,3,182,,16,28,14,,,4,,2,122,68,24,,,14,,60,1,5,,51
3-Nov,41,,,,6,,27,,,128,57,324,64,7,124,,,117,11,,327,,,1,228,47,,9,,,,12,,,20,,,18,47,,64,15,95,,,44,129,,,,,,46,163,3,,7,55,,,,27,2,188,,19,37,13,,,1,,1,69,48,20,,,10,,28,,,,21
3-Dec,40,,,1,6,,22,,,151,46,281,74,6,94,,,84,9,,306,,,,169,34,,10,,1,,6,,,18,,,22,42,,46,17,88,,,48,103,,1,2,,,31,145,1,,7,55,,,1,20,,183,,16,42,8,,,2,,,41,25,17,,,11,,15,2,,,15
4-Jan,39,,,,9,,15,,,105,36,275,54,3,92,,,88,11,,312,,,,178,27,,4,,,,7,,,20,,,10,34,,48,17,90,,,42,86,,2,,,,25,164,,,4,51,,,,20,1,158,,7,20,21,,,1,,,37,23,14,,,3,,37,,,,10
4-Feb,25,1,,,4,,23,,,90,37,246,58,11,99,,,87,4,1,278,,,,161,38,,11,,,,1,,,10,,,18,41,,40,23,72,,,54,86,,1,,,,25,131,3,,,37,,,,20,3,134,,8,29,19,,,1,,2,41,36,16,1,,11,,17,,1,,19
4-Mar,37,,,2,3,,16,,,119,43,308,57,2,99,1,,75,9,,271,,,,165,38,,9,,,,1,,,14,,,17,38,,38,18,69,,,45,99,,1,,,,33,130,1,,5,51,,,,18,1,169,,4,22,5,,,1,,2,74,61,37,,,16,,42,2,,,35
4-Apr,34,,,,5,,20,,,116,51,278,46,1,93,,,98,2,,274,,,,169,29,,10,,,,4,,,19,,,15,35,,54,17,76,,,54,120,,1,1,,,30,155,4,,1,45,,,,22,2,152,1,9,30,13,,,5,,3,93,79,28,,,18,,81,1,4,,54
4-May,32,,,,4,,23,,,111,44,307,51,2,107,,,92,4,,314,,,1,179,35,,7,,1,,4,,,22,,,22,34,,60,21,85,,,48,95,,,,,,35,160,4,,4,61,,,,26,2,155,,8,34,9,,,1,,,158,97,48,,,21,,71,5,8,,60
4-Jun,22,,,2,7,,17,,,112,52,298,53,6,115,1,,92,8,,295,,,,186,40,,8,,2,,3,,,19,,,10,42,,39,20,88,,,44,80,,3,,,,23,166,1,,3,43,,,,17,5,166,,5,26,12,,,3,,2,156,106,53,,,22,,68,1,11,,58
4-Jul,34,,,,4,,25,,,128,54,308,55,3,108,1,,101,5,,280,,,,209,36,,7,,,,2,,,15,,,12,25,,43,15,69,,2,39,106,,1,,,,35,159,2,,3,54,,,,17,3,146,1,2,58,15,,,7,,2,177,126,56,,,17,,103,5,5,,78
4-Aug,41,,,,7,,24,,,141,50,278,52,3,98,,,90,7,,313,,,,208,37,,7,,1,,7,,,17,,,18,43,,44,22,90,,,45,89,,,,,,24,159,2,,1,45,,,,18,3,166,,5,36,8,,,6,,1,172,130,62,,,17,,78,3,5,,75
4-Sep,22,,,1,6,,13,,,109,53,301,52,3,97,,,91,4,,265,,,1,174,32,,12,,1,,9,,,18,,,11,28,,49,14,74,,1,51,101,,1,,,,28,139,4,,4,42,,,,14,3,152,,3,36,13,,,8,,1,142,111,46,2,,12,,81,3,7,,51
4-Oct,33,,,,10,,19,,,89,49,317,52,1,111,,,108,6,,281,,,,217,39,,13,,,,6,,,26,,,18,41,,61,24,84,,,45,97,1,2,,,1,34,157,1,,9,72,,,,21,4,177,,6,32,19,,,3,,,120,77,31,,,12,,52,2,4,,48
4-Nov,39,,,,5,,21,,,113,48,301,61,3,114,,,101,2,,297,,,,194,29,,8,,,,7,,,20,,,19,42,,49,15,98,,,57,89,,1,1,,,30,147,1,,4,60,,,,21,3,164,,8,32,20,,,2,,1,64,40,15,1,,9,,32,1,2,,24
4-Dec,35,,,,7,,9,,,106,59,317,55,5,115,,,99,4,,329,,,,205,52,,13,,,,4,,,18,,,16,34,,39,17,84,,,65,97,,,2,,,32,167,2,,3,48,,,,26,3,177,,13,43,11,,,1,,,36,34,12,,,11,,27,,2,,13
5-Jan,24,,,,5,,14,,,100,53,261,49,5,109,,,81,6,,271,,,,173,42,,11,,,,7,,,19,,,20,28,,52,19,68,,,39,88,,2,1,,,20,113,2,,3,63,,,,27,4,148,,4,26,11,,,1,,,47,27,16,1,,11,,21,1,2,,21
5-Feb,31,,,,4,,19,,,108,39,240,46,1,80,,,91,3,,245,,,,165,36,,19,,1,,3,,,20,,,18,24,,42,12,73,,,29,87,,1,1,,,20,113,1,,3,50,,,,7,2,134,,8,28,8,,,1,,1,44,26,14,,,5,,16,,1,,22
5-Mar,30,1,,,10,,18,,,108,36,260,55,4,83,,,97,4,,260,,,,178,36,,4,,1,,1,,,22,,,19,31,,47,13,78,,,38,85,,2,,,,29,124,3,,4,45,,,,19,3,149,,7,37,18,,,3,,1,85,45,29,,,7,,38,1,4,,26
5-Apr,35,,,1,7,,24,,,98,49,278,61,3,104,,,72,1,,263,,,,196,28,,11,,,,6,,,23,,,17,46,,51,14,80,,,45,72,,1,2,,,22,159,6,,4,49,,,,29,2,141,,2,40,12,,,2,,3,145,98,42,,,16,,82,1,5,,52
5-May,49,,,,5,1,27,,,116,45,253,59,3,98,,,87,7,,293,,,,186,36,,11,,,,4,,,14,,,14,32,,49,16,70,,,51,87,,,2,,,19,156,5,1,3,58,,,,19,5,160,,,33,10,,,10,,,159,107,42,2,,15,,93,2,7,,50
5-Jun,19,1,,2,3,,18,,,127,50,311,49,5,100,,,94,2,,252,,,,191,29,,8,,,,4,,,14,,,18,38,,49,19,68,,,41,88,,1,1,,,32,129,1,,,58,,,,24,8,186,,6,28,12,,,4,,3,175,111,47,,,14,,84,3,4,,82
5-Jul,40,,,,9,,25,,,118,42,306,71,6,120,,,106,10,,295,,,,191,32,,19,,1,,6,,,24,,,15,43,,47,21,95,,,51,90,,1,2,,,42,139,3,,,43,,,,26,10,181,,6,35,14,,,3,,8,196,115,76,,,26,,112,1,6,,79
5-Aug,32,1,,1,8,,23,,,108,47,296,60,2,91,,,86,7,,310,,,,185,43,,11,,,,5,,,24,,,23,35,,49,20,59,,,64,92,,3,2,,,20,141,3,,6,54,,,,18,5,175,1,4,38,19,,,5,,5,189,126,64,,,17,,84,4,2,,83
5-Sep,37,,,2,3,,25,,,102,48,262,47,1,112,,,102,6,,273,,,,184,31,,5,,,,6,,,17,,,18,34,,48,12,77,1,,38,77,,1,3,,,28,122,2,,7,42,,,,26,2,170,,4,42,17,,,14,,6,205,126,60,1,,24,,110,1,4,,58
5-Oct,50,,,1,10,,22,,,99,45,335,65,1,99,,,93,5,,323,,,,216,39,,10,,,,4,,,24,,,14,47,,42,19,72,1,,54,95,,2,1,,,24,157,2,,1,67,,,,32,2,176,,5,48,12,,,5,,2,149,83,46,,,16,,72,4,5,,76
5-Nov,39,,,,5,,33,,,132,63,293,54,5,108,,,95,7,,299,,,,207,45,,8,,,,10,,,29,,,18,44,,44,22,82,,,50,85,,3,,,,22,131,4,,5,64,,,,36,6,164,,4,32,18,,,4,,4,90,63,27,,,10,,52,4,2,,35
5-Dec,49,,,1,8,,24,,,112,61,261,72,6,107,,,86,3,,278,,,,200,41,,16,,,,3,,,23,,,8,41,,38,13,84,,,60,86,,,1,,,19,120,5,,5,53,,,,25,5,175,,4,35,13,,,2,,,37,25,20,,,6,,32,,2,,22
6-Jan,41,,,1,5,,30,,,94,54,253,66,4,102,,,82,6,,255,,,,166,27,,12,,1,,7,,,15,,,17,30,,41,21,66,,,37,78,,1,4,,,23,129,2,,4,48,,,,22,2,164,,1,30,19,,,1,,1,55,40,23,,,10,,37,2,3,,19
6-Feb,37,,,,5,,15,,,85,34,260,45,4,75,,,86,5,,215,,,,166,41,,13,,,,1,,,22,,,19,34,,34,18,54,,,51,67,,,1,,,20,97,1,,3,45,,,,27,2,155,,3,27,11,,,1,,1,44,32,17,,,8,,25,3,,,30
6-Mar,33,,,,6,,27,,,110,53,253,64,4,100,,,91,5,,256,,,,190,47,,6,,,,4,,,12,,,22,31,,49,18,64,,,44,70,,3,,,,18,123,3,,7,50,,,,21,5,146,,2,44,18,,,2,,2,111,51,26,,,16,,50,3,3,,33
6-Apr,45,,,1,7,,15,,,92,33,250,59,1,107,,,76,5,,242,,,,181,34,,7,,1,,6,,,13,,,19,27,,52,15,68,,,39,63,,1,1,,,16,125,5,,2,47,,,,18,4,166,,6,39,18,,,5,,6,151,100,45,,,17,,89,4,6,,70
6-May,41,,,,8,,33,,,122,44,258,60,4,95,,,100,3,,282,,,1,216,27,,9,,,,4,,,22,,,26,32,,44,28,64,,,48,76,,3,,,,11,146,3,,3,55,,,,19,5,178,,3,32,11,,,8,,6,185,105,56,,,28,,99,4,11,,73
6-Jun,29,,,1,8,,15,,,96,51,269,54,6,101,,,91,1,,252,,,,165,36,,17,,,,6,,,23,,,9,37,,57,20,69,,,46,78,,2,,,,27,126,4,,2,45,,,,19,5,162,,4,44,17,,,6,,2,214,119,59,,,24,,92,3,4,,66
6-Jul,30,,,,9,,23,,,95,42,285,63,7,99,,,92,6,,275,,,,183,45,,13,,,,5,,,21,,,20,43,,40,22,65,,,44,74,,,,,,15,130,1,,2,51,,,,22,4,179,,1,38,22,,,9,,2,213,127,59,,,20,,120,5,10,,87
6-Aug,31,,,,7,,16,,,110,47,281,80,2,92,,,106,2,,253,,,,188,26,,6,,1,,5,,,20,,,15,32,,46,25,74,,,34,72,,4,,,,18,139,3,,4,54,,,,35,6,163,,8,44,15,,,2,,2,185,119,73,,,30,,116,2,4,,80
6-Sep,33,,,,6,,19,,,115,48,259,77,7,102,,,77,4,,259,,,,180,50,,17,,,,4,,,22,,,15,43,,51,25,60,,,40,73,,2,,,,20,105,2,,4,46,,,,23,7,155,,2,33,12,,,6,1,3,172,126,57,,,22,,92,2,5,,69
6-Oct,32,,,,6,,36,,,120,62,290,58,3,107,,,105,2,,302,,,,214,33,,9,,,,3,,,21,,,23,29,,40,30,64,1,1,48,80,,2,1,,,25,126,6,,6,44,,,,19,5,195,,4,41,18,,,2,,2,107,65,38,,,21,,67,2,7,,49
6-Nov,37,,,1,11,1,27,,,88,42,253,55,4,114,,,82,3,,283,,,,162,53,,5,,1,,8,,,21,,,18,27,,33,29,80,,,46,68,,2,2,,,23,144,2,,5,49,,,,24,3,179,,5,36,12,,,2,,1,103,58,21,1,,11,,53,4,1,,45
6-Dec,41,,,,8,,30,,,102,45,272,72,2,119,,,97,4,,280,,,,199,43,,11,,,,4,,,20,,,22,34,,44,21,63,,,57,82,,2,2,,,27,106,2,,3,53,,,,26,6,179,,6,41,9,,,1,,,48,36,19,,,10,,41,3,,,18
7-Jan,32,,,2,6,,24,,,103,45,232,63,3,89,1,,66,2,,232,,,,171,33,,11,,,,4,,,20,,,16,22,,47,11,50,,,41,56,,2,,,,12,100,1,,2,53,,,,11,3,167,,3,37,18,,,2,,,31,35,18,,,9,,26,,2,,15
7-Feb,32,,,,6,,21,,,83,30,232,52,3,88,,,60,,,230,,,,159,38,,10,,,,5,,,21,,,16,29,,37,26,56,,,35,63,,,1,,,23,115,5,,3,50,,,,17,4,137,2,,27,14,,,2,,,51,27,12,1,,8,,30,1,2,,17
7-Mar,35,,,,9,,18,,,81,46,274,63,5,103,,,84,2,,248,,,,193,38,,10,,,,4,,,18,,,10,37,,26,18,49,,,46,74,,1,,,,15,133,5,,6,43,,,1,17,4,165,,1,33,12,,,2,,5,122,68,43,,,12,,75,,2,,63
7-Apr,35,,,,8,,28,,,94,24,236,66,1,109,,,98,2,,259,,,,188,41,,17,,,,3,1,,23,,,19,28,,29,14,62,,,38,47,,2,,,,15,147,4,,2,50,,,,18,3,195,,3,30,21,,,3,,1,123,106,45,,,15,,80,6,6,,53
7-May,32,,,,7,,21,,,87,38,246,59,2,102,,,84,4,,279,,,,167,47,,14,,,,7,,,15,,,24,32,,41,20,60,,,47,65,,1,,,,12,118,1,,3,54,,,,23,7,150,,3,33,18,,,3,1,4,200,136,65,1,,20,,118,6,8,,84
7-Jun,31,,,,8,,23,,,99,37,259,65,2,117,,,71,1,,252,,,,179,47,,7,,,,9,1,,20,,,17,36,,40,21,71,,1,38,61,,3,2,,,18,126,,,1,42,,,,24,5,169,,1,28,7,,,5,,2,194,118,74,,,25,,115,7,10,,76
7-Jul,39,,,,7,,17,,,101,35,246,74,5,94,,,85,1,,249,,,2,160,37,,14,,,,4,1,,16,,,18,29,,57,24,73,,,41,48,,1,,,,23,132,4,,4,39,,,,25,7,171,,2,32,16,,,9,1,1,216,139,84,,,28,,110,7,7,,84
7-Aug,32,,,,6,,25,,,91,37,212,71,1,100,,,73,2,,267,,,,179,50,,9,,2,,7,,,22,,,24,41,,37,14,61,1,,43,56,,2,,,,24,109,2,,7,48,,,,27,8,169,,2,35,13,,,6,,,184,138,69,2,,30,,134,8,5,,84
7-Sep,19,,,1,10,,20,,,88,49,263,58,1,65,,,69,1,,234,,,,155,39,,17,,,,3,1,,19,,,17,29,,38,21,58,,,34,66,,3,1,,,19,113,3,,4,39,,,,31,5,161,,1,38,15,,,11,,,208,114,71,1,,22,,123,4,4,,77
7-Oct,30,,,,4,,27,,,98,47,282,60,3,97,,,91,2,,233,,,1,188,32,,10,,1,,6,,,24,,,23,35,,36,23,72,,,51,68,,,,,,19,121,2,,2,46,,,,27,6,201,,4,36,14,,,3,,2,172,96,49,1,,18,,86,8,3,,51
7-Nov,30,,,,7,,28,,,99,38,239,56,,103,,,87,1,,255,,,1,175,32,,16,,1,,7,,,17,,,23,36,,49,31,57,,,47,66,,1,1,,,20,141,4,,6,43,,,,25,8,181,,1,36,13,,,3,,1,82,51,34,,,15,,47,2,1,,32
7-Dec,23,,,,8,1,23,,,110,35,262,71,3,113,,,88,3,,260,,,,181,33,,15,,,,6,,,27,,,14,28,,38,23,58,,1,34,68,,,3,,,8,122,1,,2,49,,,,16,12,156,1,1,29,14,,,2,,2,49,38,18,,,13,,38,1,1,,14
8-Jan,23,,,,5,,22,,,96,42,236,64,3,107,,,70,2,,232,,,1,151,38,,13,,,,6,,,27,,,13,42,,33,21,47,,,29,55,,2,,,,12,95,1,,4,61,,,,18,7,159,,5,35,9,,,1,,,48,24,18,,,8,,28,1,2,,18
8-Feb,28,,,,5,,19,,,94,42,237,51,,86,,,69,1,,222,,,2,154,27,,14,,1,,3,,,27,,,17,19,,35,15,52,,,30,41,,4,1,,,10,105,2,,6,40,,,,22,9,172,,1,33,18,,,,,1,57,34,26,,,16,,30,2,3,,24
8-Mar,29,,,1,11,,22,,,80,40,217,51,1,93,,,76,1,,237,,,,135,31,,12,,,,1,1,,21,,,9,33,,40,15,39,,,36,37,,3,,,,14,104,5,,3,51,,,,17,5,139,,3,31,17,,,1,,5,96,44,34,,,15,,47,3,1,,48
8-Apr,29,1,,,2,,26,,,79,38,188,58,2,88,,,71,3,,189,,,1,156,30,,7,,,,5,,,31,,,15,22,,37,16,49,,2,30,39,,3,,,,15,94,,,4,32,,,,17,4,151,,2,23,10,,,4,,3,151,106,42,2,,26,,90,1,4,,72
8-May,21,,,,7,,16,,,71,36,224,51,2,77,,,83,,,232,,,,134,34,,12,,,,7,,,20,,,14,41,,29,16,54,,,32,55,1,1,,,,13,105,2,,3,48,,,,24,11,157,,5,30,11,,,8,,5,184,119,62,,,34,,108,3,10,,80
8-Jun,19,,,1,8,,20,,,67,32,221,48,2,80,,,72,1,,212,,,,162,38,,12,,,,6,,,28,,,23,31,,34,23,59,,1,34,46,,3,1,,,14,108,4,,6,39,,,,23,4,159,,1,28,12,,,5,,3,231,154,56,,,31,,116,2,8,,92
8-Jul,29,,,,5,,17,,,73,40,220,55,2,86,,,61,2,,206,,,,144,29,,14,,,,5,,,21,,,16,26,,42,20,60,1,,29,57,1,1,,,,12,109,,,5,40,,,,29,6,129,,2,29,15,,,2,,4,237,142,72,,,43,,112,5,9,,91
8-Aug,32,,,,9,,27,,,89,41,233,52,3,94,,,76,3,,215,,,1,135,47,,13,,,,4,,,20,,,10,29,,39,18,68,,,36,65,,4,,,,4,109,,,6,30,,,,33,4,166,,3,27,13,,,6,,2,226,157,67,,,45,,129,7,5,,101
8-Sep,33,,,,5,,31,,,89,32,184,52,3,82,,,65,3,,186,,,1,129,29,,9,,,,3,1,,21,,,13,28,,37,11,49,,,28,41,,2,1,,,14,107,2,,2,42,,,,24,6,146,,4,40,7,,,7,,1,179,105,55,,,36,,102,6,5,,78
8-Oct,29,,,,8,,23,,,90,42,243,65,3,139,,,68,1,,224,,,,160,41,,15,,,,6,,,25,,,19,28,,44,19,67,,,37,52,,1,1,,,11,108,2,,2,44,,,,17,6,179,,1,41,10,,,3,,3,155,97,53,,,23,,76,5,9,,59
8-Nov,33,,,,8,,28,,,92,38,245,53,,101,,,74,3,,200,,,,162,42,,11,,,,10,1,,19,,,16,28,,34,14,48,,,47,53,,4,,,,8,118,1,,4,52,,,,17,4,174,,2,32,5,,,2,,2,100,45,27,,,18,,42,2,5,,35
8-Dec,20,,,,3,,31,,,72,41,260,45,,99,,,71,3,,213,,,2,166,40,,10,,,,6,,,13,,,22,36,,30,18,53,,,39,50,,5,,,,7,118,2,,8,43,,,,14,9,173,,7,31,20,,,1,,1,43,28,18,,,15,,38,3,1,,17
9-Jan,30,,,,5,,24,,,61,37,212,42,1,76,,,67,2,,201,,,,145,28,,12,,,,3,2,,15,,,11,27,,29,7,47,,,27,49,,5,,,,15,106,1,,3,31,,,1,15,4,156,,2,22,7,,,5,,1,49,20,8,,,9,,27,2,2,,21
9-Feb,23,,,,5,,19,,,75,39,176,50,,91,,,45,,,185,,,,136,28,,7,,,,,1,,15,,,12,26,,30,19,45,,,20,38,,,,,,9,76,1,,,36,,,,14,8,126,,3,27,12,,,3,,2,59,38,18,,,15,,46,2,7,1,18
9-Mar,28,,,,5,,21,,,59,29,203,43,,97,,,51,1,,163,,,1,134,31,,13,,,,6,1,,17,,,15,29,,34,16,29,,,27,25,,4,1,,,10,89,3,,4,24,,1,,15,5,150,,1,23,10,,,3,,3,89,43,29,,,16,,49,,2,1,38
9-Apr,22,,,,7,,29,,,74,32,198,50,1,92,,,75,1,,169,,,,115,33,,9,,,,3,,,20,,,19,29,,28,17,40,,1,41,43,,3,,,,15,101,,,1,38,,,,18,8,178,,1,34,13,,,4,,5,148,79,56,,,22,,77,4,4,2,64
9-May,30,,,,6,,27,,,69,50,207,58,1,117,,,55,1,,211,,,,165,34,,11,,1,,8,2,,22,,,14,31,,30,18,43,,,29,38,,1,,,,6,88,3,,2,29,,,,20,9,137,,3,26,14,,,5,,2,207,111,57,,,33,,90,4,10,3,60
9-Jun,31,,,,9,,18,,,70,22,207,48,1,90,,,59,1,,186,,,1,155,35,,16,,1,,4,,,13,,,18,34,,29,20,39,,,27,44,1,1,1,,,9,88,5,,3,30,,1,,22,6,160,,2,27,7,,,2,,1,190,102,56,1,,28,,84,5,6,2,74
9-Jul,23,,,2,5,,19,,,72,24,192,48,1,79,,,63,1,,187,,,,159,30,,4,,,,2,,,16,,,9,28,,32,11,42,,,30,40,,2,,,,12,87,2,,1,33,,1,,19,3,150,,3,27,11,,,4,,3,223,100,68,,,31,,87,4,5,,67
9-Aug,28,,,,7,,22,,,81,34,218,60,,89,,,76,3,,191,,,1,162,32,,14,,,,2,,,22,,,21,34,,29,15,41,,,20,47,,1,1,,,9,100,1,,4,37,,1,,18,9,150,,2,25,10,,,3,1,5,196,98,54,,,45,,89,3,4,2,81
9-Sep,20,,,,3,,23,,,81,31,217,46,3,70,,,57,1,,189,,,1,130,39,,4,,,,3,,,20,,,8,29,,27,17,50,,,24,47,1,1,1,,,12,100,4,,4,37,,,,17,3,150,,9,45,14,,,6,,2,201,91,54,1,,31,,52,5,5,,63
9-Oct,25,,,,8,,17,,,80,25,213,61,,126,,,88,,,206,,,2,157,30,,5,,,,2,,,21,,,25,31,,34,21,43,,,36,25,,1,1,,,12,77,1,,2,29,,,,19,4,139,,6,33,10,,,2,,4,91,60,41,,,17,,41,1,2,,49
9-Nov,25,,,,9,,18,,,85,33,193,63,1,84,,,76,2,,210,,,1,145,27,,17,,1,,4,,,17,,,25,26,,37,23,39,,,34,39,,2,,,,12,86,1,,2,32,,,,19,4,171,,3,22,5,,,2,,2,88,54,29,,1,22,,45,4,1,,35
9-Dec,15,,,,7,,22,,,71,28,193,55,2,84,,,67,1,,177,,,2,124,36,,16,,,,5,,,23,,,23,35,,35,17,61,,1,27,30,,1,,,,9,85,3,,2,35,,,,18,6,167,,3,26,11,,,1,,,27,25,13,,,12,,17,1,1,,6
10-Jan,20,,,,5,,25,,,65,34,155,37,1,90,,,59,3,,173,,,2,124,29,,18,,,,4,,,29,,,18,15,,26,14,33,,,25,39,,2,,,,7,86,,,2,35,,,,9,12,146,,1,19,9,,,,,,60,16,10,,,7,,14,3,1,,14
10-Feb,16,,,,8,,17,,,48,22,157,54,1,72,,,43,1,,146,,,1,136,34,,8,,,,3,,,14,,,11,16,,25,10,41,,,20,32,,5,,,,7,77,,,3,20,,,,13,2,121,,1,21,5,,,4,,2,37,18,9,,,5,,20,,2,1,12
10-Mar,25,,,,5,,17,,,70,25,166,57,,88,,,49,1,,167,,,2,140,32,,14,,,,4,1,,32,,,15,31,,31,13,47,,,33,33,,3,,,,8,83,1,,1,41,,,,14,5,149,,2,20,9,,,,,8,92,49,24,,,10,,49,5,4,1,23
10-Apr,24,,,,5,,32,,,86,25,187,57,1,87,,,61,1,,189,,,1,127,43,,12,,,,5,2,,17,,,27,36,,25,22,38,,,28,38,2,2,2,,,11,94,1,,1,29,,,,14,4,167,,1,24,14,,,6,,4,161,105,39,,,16,,70,1,3,,63
10-May,24,,,1,7,,23,,,71,28,202,59,,101,,,57,,,172,,,2,151,44,,10,,,,2,1,,25,,,16,29,,30,8,38,,,36,47,,,,,,9,82,,,2,35,,,,11,10,164,,1,24,18,,,3,,3,208,95,55,,,27,,85,4,6,3,62
10-Jun,24,,,,2,,14,,,54,36,206,42,2,78,,,57,2,,176,,,1,135,26,,10,,,,1,,,22,,,14,22,,39,10,30,,1,25,20,,4,,,,10,77,,,6,29,,1,,27,3,149,,4,25,6,,,4,,3,214,107,64,1,2,29,,82,5,7,1,68
10-Jul,15,,,,5,,28,,,89,27,207,55,,82,,,57,,,168,,,,139,35,,12,,1,,4,,,18,,,24,17,,31,16,50,,,36,31,,2,1,,,10,104,1,,3,49,,1,,16,9,146,,2,22,12,,,12,,5,227,114,55,,,35,,92,3,7,4,65
10-Aug,28,1,,,6,,23,,,70,28,201,59,1,82,,,66,1,,177,,,3,131,35,,7,,,,3,,,21,,,14,28,,34,13,50,,,23,39,,4,,,,12,96,1,,2,27,,,,22,5,167,,3,36,3,,,8,,3,239,95,59,,,33,,90,7,9,1,85
10-Sep,21,,,1,10,,21,,,71,27,196,54,1,84,,,61,2,,176,,,,124,45,,12,,,,4,,,20,,,22,21,,32,26,48,,,31,41,1,3,,,,10,89,2,,6,40,,,,17,6,158,,3,34,9,,,7,,3,182,87,66,1,,33,,72,6,6,4,59
10-Oct,19,,,,4,,26,,,68,41,208,60,3,97,,,66,,,189,,,2,177,34,,12,,,,3,,,24,,,19,26,,41,19,43,1,,32,38,,1,,,,9,106,2,,7,40,,,,25,4,165,,1,33,10,,,5,,3,161,69,47,,,25,,63,5,10,1,53
10-Nov,26,,,1,4,,20,,,77,24,197,61,2,102,,,59,1,,183,,,1,147,37,,11,,1,,6,,,21,,,15,33,,33,14,55,,,29,45,,2,1,,,7,94,,,4,39,,1,,10,4,161,,3,36,11,,,3,,2,76,34,14,,,16,,28,1,7,3,30
10-Dec,29,,,,9,,14,,,77,28,168,36,,100,,,58,2,,186,,,1,151,44,,11,,,,3,,,23,,,12,29,,32,17,53,,,32,31,,,,,,5,80,1,,4,37,,,,29,10,157,,1,36,5,,,2,,,35,24,10,,,8,,19,1,2,,14
11-Jan,27,,,,6,,24,,,52,25,164,41,1,87,,,43,1,,161,,,2,159,43,,9,,,,4,2,,23,,,11,12,,17,19,37,,,22,34,,4,1,,,2,75,,,2,23,,,,29,7,134,,3,23,16,,,2,,,55,31,12,1,,4,,26,1,3,2,16
