Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Dec-77,,,,250,10,,14,2,4,420,154,2480,160,,214,,4,576,,22,2156,14,,270,130,,4,,232,,154,,,106,42,,34,,74,140,24,,286,,20,,438,,36,76,52,,468,564,18,,,,24,,,28,,200,26,124,398,26,,,,,,,,,,,,,,,,,
Jan-78,,,,134,10,,12,6,4,248,108,1620,110,,132,,2,368,,26,1438,22,,188,94,,2,,160,,96,,28,64,18,,16,,34,96,22,10,196,,,,344,,58,36,48,,286,340,8,,,,34,2,,16,,110,20,38,254,16,,,,,,,,,,,,,,,,,
Feb-78,,,,150,10,,8,2,2,262,130,1466,100,,156,,4,396,,10,1450,4,,192,116,,6,,138,,120,,26,66,26,,20,,46,60,24,14,200,,,,326,,34,28,38,,252,304,12,,,,24,,,2,,126,16,26,232,20,,,,,,,,,,,,,,,,,
Mar-78,,,,172,6,,12,6,4,372,134,2030,132,,178,,6,454,,32,1774,20,,224,158,,4,,214,,112,,50,60,56,,64,,58,94,42,12,222,,,,418,,48,34,70,,368,466,12,,,,54,4,,16,,192,26,48,284,20,,,,,,,,,,,,,,,,,
Apr-78,,,,146,10,,16,4,10,342,134,2272,118,,204,2,4,530,,28,1982,20,,224,312,,2,,170,,98,,58,64,118,,92,,56,78,20,12,242,,,,438,,62,50,36,,366,466,22,,,,126,4,,16,,156,34,50,340,22,,,,,,,,,,,,,,,,,
May-78,,,,174,8,,18,10,6,410,164,2396,148,,268,14,14,538,,32,1928,24,,240,456,,12,,198,,130,,64,82,210,,170,,44,104,30,26,248,,,,380,,90,52,56,,438,600,16,,,,174,4,,26,,190,54,72,324,18,,,,,,,,,,,,,,,,,
Jun-78,,,,200,14,,18,2,8,430,174,2474,146,,214,8,12,614,,30,2216,28,,254,510,,2,,240,,126,,40,96,220,,190,,50,112,34,16,254,,,,480,,100,42,80,,464,562,22,,,,172,12,,30,,220,56,78,328,34,,,,,,,,,,,,,,,,,
Jul-78,,,,144,18,,16,2,12,418,152,2652,142,,260,12,4,632,,38,2230,26,,256,562,,4,,256,,140,,90,88,218,,202,,58,108,28,22,290,,,,496,,98,58,66,,448,604,34,,,,242,8,,34,,226,48,92,390,28,,,,,,,,,,,,,,,,,
Aug-78,,,,174,8,,24,12,20,416,178,2782,150,,240,4,8,612,,44,2268,10,,264,548,,2,,308,,128,,60,70,228,,202,,64,116,32,18,284,,,,514,,118,62,68,,494,614,26,,,,182,10,,22,,234,60,86,334,12,,,,,,,,,,,,,,,,,
Sep-78,,,,162,14,,20,6,8,438,156,2770,110,,242,4,10,610,,46,2328,14,,274,458,,6,,264,,126,,68,114,184,,142,,78,98,36,18,318,,,,478,,62,48,52,,464,646,22,,,,150,2,,12,,210,40,60,334,12,,,,,,,,,,,,,,,,,
