"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","Variable: Per Team for Men and Women"
"Time:","2006 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Oral Roberts University",1036278,3611710,,,661542,,1288469,,,541572,1199414,771884,,1516147,3846106,,,698488,,1400129,,,565728,1227881,853669,,1158320,3847357,,,695022,,1367705,,,570226,1381033,722762,,1196152,4337584,,,716170,,1403429,,,673429,1384865,796477,,1466704,4276793,,,897705,,1259706,,,567623,1229358,854172,,1302846,4660672,,,658153,,1281814,,,541124,1321637,765149,,1263195,4361189,,,659174,,1219553,,,587829,1387365,753060,,1186184,4179761,,,557525,,983411,,,462608,947949,740059,,1210024,3816774,,,646200,,935057,,,386370,1065007,665795,,1229804,4182612,,,643337,,934164,,,428951,1052018,651910,,1277023,3602943,,,628813,,903437,,,431299,1059385,649513,,1101408,3324566,,,596656,,906897,,,448198,1060807,659420,
"California State University-Bakersfield",1035554,3252876,,,252356,,,,,,,,523383,1252162,4470230,,,66333,,1636396,603808,797763,,438019,919493,159724,1318579,4253438,,,130903,,1487666,669082,755989,,369254,814035,445887,1134094,3573558,,,109598,,1491256,568909,721327,,375482,865639,343360,815958,3385883,,,187609,,1476112,498293,633340,,291446,781319,336783,761315,3067933,,,226545,,1356652,478004,597705,,235476,727364,293462,887059,2546544,,,183640,,1290814,489049,,,,610429,253526,782838,2464733,,,161163,,1127076,577184,,,272353,696394,245505,827856,2702243,,,111719,,996147,364033,569235,,320868,662849,22244,939856,2109939,,,97040,,824616,394402,410888,82894,478345,531403,249896,967786,1900707,,,165738,,777691,405533,420073,137109,487225,446809,282058,456652,1402064,,,220394,,601545,418561,436509,134751,447389,423115,335265
"University of Hartford",1022352,3350806,,,546906,,825547,625161,,,619873,674566,,1181227,4682473,,,684088,,2203067,743679,,,707809,738951,,1203085,4349612,,,664095,,1886167,712316,,,585841,717594,,1120152,3412000,,,608459,,2000369,718274,,,708262,687729,,1209787,3396359,,,615367,,1896106,720971,,,600237,663353,,1125364,4461528,,,634706,,1970359,704687,,333835,675944,584727,,918395,3697694,,,565875,,1739635,659088,,371288,719642,511732,,793100,3265528,,,480708,,1607234,497824,,290433,594305,484658,,855527,3272944,,,508787,,1597321,591380,,298978,632076,421977,,658140,3141963,,,505449,,1561348,566254,,242970,578135,474431,,640099,3196797,,,484155,,1400341,554559,,242195,596308,461911,,665424,3428267,,,445348,,1445646,591359,,200607,611375,457629,
"Saint Xavier University",1018610,819772,,1406073,122012,,636847,363852,,,,567147,,731926,825912,,1393834,143461,,508400,380166,,,671348,700020,,563878,820996,,1358281,153206,,641925,347017,,,370455,360754,,446389,819302,,1278627,145873,,517919,357480,,,503287,365046,,497594,852889,,1085254,138346,,534547,345267,,,515069,354791,,415808,840231,,2178040,193859,,527262,369765,,,427573,367010,,419341,844143,,1075978,99776,,528018,375693,,,399212,377199,,450522,825465,,1062677,99776,,506614,359177,,,382787,350282,,450522,825465,,1062677,99776,,506614,359177,,,382787,350282,,449873,819084,,927530,,,506013,358753,,,342339,338849,,450192,820080,,928084,,,506304,358900,,,342437,338878,,442116,787649,,865451,,,490152,350824,,,326285,324711,
"University of Louisiana at Monroe",1016882,2183933,,5676612,566439,,614100,606673,,300271,884640,446752,,927958,2547073,,5806764,476019,,526524,631597,,248141,876462,456661,,982878,2776418,,5304043,439991,,468828,554734,,325462,927679,436861,,814738,2273205,,5198019,467766,,442045,538955,,318901,845293,394403,,697013,2263233,,5394664,512739,,448302,530722,,289436,832122,409899,,657332,1967148,,5158578,428592,,446689,479502,,241056,842891,394733,,614463,1728901,,4071730,358390,,465496,445266,,217923,,351086,,573782,1582960,,4106583,369710,,385868,341236,,211417,729243,332095,,523304,1335910,,3277727,275369,,312018,309836,,192787,631114,336931,,476861,1341369,,3588964,301102,,358873,306395,,179405,614721,335234,,487640,1257856,,2953497,257347,,321682,311016,,178743,624429,314328,,473446,1334878,,2982373,239679,,332753,283276,,171625,610723,287723,
"Milligan University",1015449,1009585,,,468134,,1148392,458782,,378600,1355760,304340,,543025,765300,,,394872,,846200,378455,,309808,948860,295371,,601223,768467,,,339675,,923932,383709,,327656,909068,252016,,585544,713552,,,345865,,853373,396499,,346092,855912,189571,,563479,752096,,,366825,,875632,357538,,229164,808439,216866,,467891,696410,,,357783,,688280,315669,,238309,644718,200637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"William & Mary",1012800,3775946,697037,6341698,312599,,1412254,,,1120477,1670249,962800,,1074451,4534968,884312,8235749,329866,,1734259,,,1271730,1686055,1107038,,1226136,5787911,1003860,7073588,512496,,1638047,,,1250730,1752290,1032479,,1029140,3751130,981243,6904974,664685,,1877169,,,1407218,1896317,989090,,1162590,3608685,925978,6587516,417657,,1469523,,,1332217,1760038,925543,,1003809,3437968,921576,6507909,449299,,1615149,,,1112675,1939468,867808,,1010890,3500997,1145536,9910938,486588,,1672593,,,1072076,2697342,774110,,446016,2129476,177937,4558738,474224,,419155,,,325032,748651,145075,,373717,1722085,204537,3986248,411653,,238039,,,307565,619928,161888,,256752,1684743,152330,3694364,316800,,255428,,,415729,458289,148024,,229697,1713174,165372,3950897,305981,,2231613,,132653,324795,478956,166504,,663870,2481357,542311,4535570,277047,,1040339,,260854,859106,1108556,707577,
"Valparaiso University",1012737,3219915,,941733,463048,,809836,734613,,263183,474691,737410,,1516958,3967578,,1243116,601327,,1623594,752280,,582726,473878,740871,,969809,3914722,,1221085,509099,,1817038,759933,292002,600094,581351,727630,,1095606,4076614,,1320849,466416,,1742849,874022,,599651,553323,841634,,854524,3897859,,1133669,467508,,1756053,738211,,405039,492863,786827,,904178,4002876,,1109289,417318,,1781359,531810,255380,487897,521354,763086,,877270,3730205,,1140912,396673,,1584658,660781,244180,446895,482048,736753,,828529,3483362,,1213771,403205,,1444878,651663,236045,369106,436142,749359,,889851,3251236,,856519,360066,,1308256,677839,232499,254173,435979,736341,,848445,3180617,,879762,274218,,1327247,612428,,225628,419904,734449,,786787,2787562,,772829,204793,,1226850,550893,,206723,372894,673750,,669306,2740696,,823005,147304,,1179012,544119,178554,200558,304037,648912,
"Utah Valley University",1011453,2254455,,,657731,,1647924,803326,,,1217834,611630,720571,879604,3019724,,,694312,,1587098,692861,,,1249535,669024,696160,950644,3059675,,,707584,,1628275,685356,,,1297603,681331,745535,903136,2850013,,,642666,,1568416,631700,,,1221123,546531,715876,882328,2906673,,,572439,,1375079,537010,,,1024131,543739,612773,873192,2217886,,,547665,,1114285,558059,,,1046599,509179,580047,818060,2134618,,,502185,,1009234,528945,,,1020820,483026,547790,818077,1771959,,,437162,,445411,493455,,,917393,441885,489370,723818,1908570,,,445494,,458173,446471,,,932455,437195,453969,591279,1722569,,,383250,,416532,477543,,,931814,416725,503213,614200,1640154,,,387275,,369342,428188,,,806485,377596,463569,464251,1420287,,,280601,,298784,352253,,,650326,301922,406311
"The University of Texas at San Antonio",1004409,3347753,,10639786,787398,,722630,624968,,767276,1495273,714314,,872031,3683750,,10150720,878193,,703867,604903,,712318,1485209,856198,,1068447,3581526,,11209349,899378,,882572,813772,,773704,1787412,876581,,1202723,3512219,,10548064,906417,,843962,782567,,751867,2015965,946758,,1026995,3291141,,10615893,759957,,781190,647677,,744826,1722601,862971,,1050840,3035148,,8782297,752014,,711145,701889,,716336,1577939,914502,,978008,2573625,,8564222,567860,,861807,693314,,565852,1528972,671675,,1124284,3103457,,7263147,813729,,1065197,765512,,707193,1826481,814138,,1154765,2996587,,6244125,833973,,795600,701298,,684844,1504937,746115,,880298,2566784,,5140135,733121,,729268,726897,,593791,1342740,656745,,146997,577404,,,186449,,85651,13394,,103380,77591,127307,,869704,2437733,,,601812,,554845,554923,,558209,1284198,611019,
"Rollins College",1001994,1714154,,,937180,,1220246,551304,,889776,,647297,,924975,1821312,,,844257,,1252493,622043,,838360,,601392,,958079,1782760,,,751432,,1140119,592487,,880721,,585626,,974317,1723728,,,827471,,1222122,584844,,822617,,616434,,877378,1680469,,,758684,,1203117,524674,,855898,,591751,,850279,1520461,,,873073,,1244001,544476,,744288,,461965,,818029,1430429,,,831552,,1202957,425380,,703940,,470312,,742584,1368193,,,743668,,1164527,448070,,699168,,463751,,638885,1430398,,,673793,,1147873,413200,,787589,,464054,,716762,1348521,,,589359,,1025557,370821,,695876,,419011,,676166,1366461,,,723759,,1301495,482158,,744414,,465113,,640636,1422712,,,610234,,841097,367127,,703957,,380059,
"Dixie State University",999187,1501471,,2635624,384394,,688658,487843,,196077,258227,494793,,739661,1376128,,1874732,356008,,720811,531198,,138523,211057,434915,,720471,1437342,,1623102,391460,,563722,517218,,119250,169246,456630,,706369,1453427,,1345051,261305,,580906,451051,,145378,,378176,,663036,1335293,,1300946,218843,,679320,368025,,80046,,337521,,654236,1263633,,1214925,252903,,625597,294074,,58355,,361224,,642822,1320715,,1123119,231397,,595594,360091,,94405,,321044,,556023,1333392,,1118354,172225,,550492,313403,,94674,,250880,,480664,1150363,,1108807,191016,,475859,306425,,88312,,213725,,423545,849314,,934993,95227,,408955,373288,,59552,,147365,,406910,770615,,838673,96263,,377453,227509,,66491,,153874,,390368,673971,,776736,91805,,334727,179484,,55905,,135855,
"Hope International University",999155,752138,,,370867,,1270196,591169,,403398,,717831,,896556,1591581,,,272930,,1376333,617512,,478189,,872594,,1101433,1137634,,,320121,,1426231,591286,,360236,,886090,,783240,932541,,,380781,,901039,564720,,280066,,799801,,864724,978333,,,389219,,1133676,426157,,310595,,798581,,575598,849352,,,225648,,811357,415844,,188183,,554948,,,928609,,,110345,,653696,307228,,242272,272059,696178,,,932460,,,,,624669,285222,,210308,161488,543456,,,716617,,,,,630801,252967,,315096,,537581,,,619571,,,,,364756,247976,,256936,,423193,,,515155,,,,,429416,188424,,140729,,435573,,,567278,,,,,558167,282280,,235983,,632742,
"Northwestern University",998086,10012310,977190,43072096,1532264,,1914795,1078111,1956817,1478837,,1034761,706313,137235,9340852,98273,59510410,500980,,92867,88001,195215,185663,,91412,206375,197696,12897417,110963,63246903,839403,,389735,180852,323251,273697,,53199,297656,194129,19634447,91529,49703674,675140,,166776,90012,207261,323980,,61004,272302,307866,14655371,45241,38681564,742775,,233178,70771,221595,233575,,43716,224988,158401,14341870,27382,36212907,594773,,187361,52615,185310,270781,,50483,233024,99917,15176192,28330,31664655,974508,,115072,41775,168986,268780,,49671,208160,95802,13570638,30305,31483008,417520,,79156,79312,167939,189201,,120242,207127,107057,12685034,24773,30143982,704408,,105901,45352,161056,135303,,86712,199777,114253,11814865,15163,27547684,220228,,65958,35213,180996,181097,,65251,195086,95652,11080536,48935,28198769,541147,,57540,31526,213125,135811,,56300,386701,113517,10104904,39844,22704959,447199,,110972,34908,179307,129738,,40535,58466
"Huntington University",997221,856666,,,200660,,556522,199493,,149494,,168844,,383245,1093245,,,178950,,578152,165364,,250432,,210756,,359187,958821,,,188295,,555603,188051,,175966,,211092,,303846,900885,,,178950,,510508,205662,,142282,,188179,,430062,986146,,,208556,,472144,171712,,182116,,189416,,402388,1002179,,,162222,,484328,177474,,158209,,148374,,1145276,923024,,,85686,,467673,191546,,154931,,113251,,293167,830017,,,43055,,421784,184757,,181029,,181808,,249975,755778,,,75619,,604060,130844,,132353,,112157,,269103,724762,,,63667,,400642,131691,,132173,,90442,,350359,784379,,,66866,,264393,113133,,186817,,160322,,283670,690568,,,56432,,226842,102174,,88715,,75006,
"Kennesaw State University",992896,2342813,,4336948,612061,,524535,640790,,536949,1278596,570957,,142780,722428,,1169910,131217,,105856,96318,,171981,116028,146817,,1091407,2740322,,5356573,906230,,779665,808348,,826327,1587498,720119,,912561,2382028,,5100355,903261,,686974,737272,,668128,1379461,731386,,993292,2511944,,4615934,844844,,593746,742269,,675894,1456295,684666,,822372,2538875,,3519293,870277,,674723,759743,,649823,1349403,672846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Michigan University",986035,2901912,511667,5908811,371155,,596675,731034,,,813765,665825,588432,881564,3757115,645190,8261430,456750,,841079,720038,,,1442694,829587,749385,1111613,4002100,697966,8175068,454065,,860967,927835,,,1699571,830462,737858,1312606,3810320,633696,7261558,506692,,763890,842672,,,1467398,714488,704005,1377632,3265165,628101,7233254,367226,,756313,773833,,,1493723,664345,668807,929851,2966935,622407,6274563,262298,,687476,783548,,,1388696,669549,673597,985920,3034470,627237,6971102,337887,,678217,746109,,,1444467,650051,755245,350765,607041,26153,3899929,,,105831,86656,,,79993,87739,256921,1274702,2938033,1034065,6750120,,,1117254,1122743,,,2109055,1104757,1323054,1809829,3913424,1510382,4388863,,,1597004,1571538,,,3058608,1576683,1835996,788423,2491116,691539,5822706,,,661683,595003,,,1098617,586447,762648,719764,2262310,628320,7035878,,,594367,540351,,,1000250,564663,692648
"Indiana State University",979631,2822782,,3538072,306278,,500530,581854,688408,,1436770,546554,,1012690,3332791,,4370196,264557,,639563,657920,740700,,1423838,561636,,1123429,3492854,,4499988,325352,,593696,726011,587871,,1773196,579210,,947784,3419599,,4410183,303713,,663402,533168,570484,,1633415,597299,,980270,3096076,,4142172,313454,,642496,623615,,,1554906,611485,,824793,3062697,,3896248,300150,,620636,626849,,,1627601,524992,,863368,3246150,,3907358,279088,,583203,619436,,,1625358,474562,,721661,3230768,,3917283,262025,,650085,467848,,,1283691,415865,,774415,2885805,,2859361,218848,,519257,479489,,,1345201,431101,,763682,2751563,,3166886,254014,,602408,487206,,,1432015,471137,,628501,2462164,,2649218,176407,,517572,523084,,,1220010,551214,,252715,12305686,,1146013,85872,,162125,202411,,,411836,188379,
"Corban University",979221,1058668,,,268510,,1604401,653697,,,1140634,520646,660015,1091328,1306854,,,333917,,2066154,678360,,,798961,550748,537715,1110176,1052433,,,549594,,1814428,710173,,,953507,508780,,995334,1054604,,,493484,,1762479,700022,,,1223899,471251,,788131,956459,,,436163,,1489370,620359,,,1222088,442700,,1072237,800938,,,330498,,1668013,923788,,,1162287,437554,,943452,831892,,,253025,,1443394,916591,,,,361950,,762905,706933,,,177060,,824320,547800,,,372995,309423,,383150,460701,,,83086,,454713,256973,,,,155521,,234245,599175,,,107916,,331477,168798,,,,175520,,195256,572550,,,143712,,282256,138458,,,,125987,,248774,472536,,,66749,,356091,206816,,,,164100,
"The University of Texas at Arlington",977893,3477319,,,566850,,,786400,,607554,1512005,814499,,921528,4041892,,,624630,,,897515,,605028,1410626,844767,,1067585,4466272,,,695874,,,829673,,869518,1738679,884588,,935244,3577154,,,670822,,,824989,,832100,1460629,784158,,1000854,3300281,,,625199,,,792723,,738755,1561229,711012,,926698,2830193,,,450614,,,729337,,678431,1384643,645594,,841996,2637136,,,423859,,,638838,,652587,1337812,650447,,891885,2506497,,,371083,,,669143,,617351,1323100,629116,,858404,2775487,,,355632,,,699163,,624463,1346160,619481,,731363,1952000,,,327104,,,559571,,555452,1141529,530622,,590051,1887051,,,308687,,,551605,,472182,1018287,507305,,757456,1813301,,,312117,,,491439,,457229,978743,479332,
"University of Wisconsin-Milwaukee",977760,3416541,,,,,1403330,,942347,365522,1261626,593091,,877316,3744148,,,,,1501263,,1128291,341016,1208010,656945,,945188,4126132,,,,,1565209,,1146084,339861,1284943,712502,,981372,3767221,,,,,1473957,,1148182,212579,1253894,679380,,930107,3616388,,,,,1413256,,1108018,289899,1293267,659690,,1093873,4048672,,,,,1306161,,1013658,248988,1262320,652328,,716896,3322861,,,,,1283705,,954059,240483,1209190,660380,,658590,3598738,,,,,1297046,,955853,256173,1150918,653087,,623721,3222711,,,,,1259394,,910794,210322,1093704,622227,,595394,3245429,,,,,1189623,,887049,204266,974413,567052,,537753,3286933,,,,,1155357,,790863,168880,775618,441367,,511974,3205134,,,,,1171530,,752972,138559,765164,608163,
"University of North Carolina Wilmington",977700,2816231,,,556747,,1041364,425599,414793,621329,400443,430372,,945796,4336058,,,755809,,1212356,431252,476941,655125,464899,509832,,1193164,3837394,,,713186,,1511621,467723,523226,671206,466764,536237,,1017894,3650080,,,670963,,1096434,478624,467135,660422,500457,484030,,964949,4412501,,,636476,,1068687,462388,434161,637613,493497,524361,,896811,3578832,,,626445,,1069996,439628,486683,571614,377330,485674,,773844,3834269,,,578068,,983996,603435,,675235,851638,429901,,716005,3972093,,,500837,,884577,642957,,476510,584581,386268,,668693,2714236,,,523012,,775695,338749,559752,516175,591122,387154,,678724,2935043,,,547536,,742932,361317,624286,552283,592928,374853,,542083,2950601,,,520361,,807091,337253,617832,486300,560159,396631,,563501,2079890,,,408871,,751342,306836,543671,387412,562577,310882,
"North Dakota State University-Main Campus",968922,2419628,,5104034,512065,,761867,821060,,,1800371,646730,629267,873672,3337430,,5914804,541160,,991475,862480,,,1889714,845822,740011,948063,3160410,,6048728,603248,,854119,1008421,,,2131662,816182,805040,868680,3000812,,5694549,607103,,836206,974197,,,1997142,779028,814418,898371,2897353,,5722585,557203,,809044,957827,,,1839444,870680,785544,794528,2595587,,4647923,433373,,847651,955476,,,1725366,789715,669815,693987,2521458,,4647756,412673,,680363,783308,,,1484449,885862,885862,669234,2488152,,4440817,398427,,658908,709645,,,1450044,736697,583899,598787,2239239,,4044796,347720,,566590,677989,,,1282844,676828,529390,548352,2115160,,3663103,332499,,586802,612915,,,1226844,645918,484507,518211,2052204,,3582325,300968,,578039,612412,,,1121619,623573,442480,442771,1988215,,3332907,223815,,525222,552852,,,987703,622511,462344
